site_id,priority,clinic,province,district,backhaul_cluster,cluster_tier,rollout_phase,address,latitude,longitude,geocode_source,geocode_confidence,recommended_access_technology,notes,dfa_status,dfa_nearnet_distance_m,dfa_products_available,dfa_reference,checked_date
UNJ-032,1,Alexandra,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"Alexandra Plaza, Cnr 2nd & 3rd Avenue, Wynberg, Alexandra",-26.1077526,28.0866494,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-073,1,Alliance,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"2135 Modderbee Road, next to Usave, Alliance, Benoni",-26.1764651,28.4220229,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-074,1,Barcelona,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"21968 Thebedi Street, Barcelona Office, Etwatwa",-26.1093349,28.4529312,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-075,1,Benoni,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"92 Kemston Avenue, Benoni",-26.1873205,28.3139269,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-033,1,Berea,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"The Alec Building, 41 Catherine Avenue, Berea",-26.1886345,28.052247,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-034,1,Braamfischerville,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"Stand 5636, Cnr Braamfischerville and Unit Road, Braamfischerville, Soweto",-26.2023193,27.8684658,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-076,1,Carnival Green,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"616 Dinare Street Ext 7, Salfin, Carnival Green, Boksburg",-26.2693099,28.2944364,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-077,1,Chloorkop,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"Christ Community Ministries, 3430 Successor Street, Chloorkop, Phomolong, Tembisa",-26.0384457,28.1843814,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-078,1,Clayville,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"2176 Antimony Street, Clayville Ext 26, Olifantsfontein",-25.9566041,28.2007826,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-035,1,Cosmo City,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"Cosmo City Baptist Church, 212 Oklahoma Drive, Cosmo City",-26.019046,27.933947,CircleTel pilot survey,FIELD-VERIFIED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,ADDRESS CONFLICT: public locator says 212 Oklahoma Drive; CircleTel pilot record says 35 Massachussets Crescent - confirm before relying on result,,,,,
UNJ-079,1,Daveyton,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"30443 Mangethe Street, Daveyton Ext 06",-26.1633644,28.3979321,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-036,1,Diepsloot,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"Diepsloot Mall, R511 and 1st Avenue, Diepsloot",-25.9418683,28.0189944,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-080,1,Duduza,Gauteng,Ekurhuleni,Gauteng Core Metro,1,1,"2098 Mandela Street, Bluegumview, Duduza, Nigel",-26.3840916,28.3958405,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-037,1,Ebony Park,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"160529 September Drive, Ebony Park, Midrand",-25.9998869,28.1786053,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
UNJ-038,1,Fleurhof,Gauteng,City of Jhb,Gauteng Core Metro,1,1,"Cnr Drumstick & Lavender Road, Ext 26, Fleurhof, Florida",-26.2058001,27.9143102,Google Places,AUTO-GEOCODED,Fibre first; Tarana FWB 50 Mbps where no fibre; 5G tertiary,,,,,,
