account_number,clinic,email,onboarding_status,service_status,package_name,monthly_price_list,billing_day,last_invoice_date,invoice_summary,wrong_full_months,paid_on_wrong,catchup_on_next_run_zar,debit_method,mandate_db,billing_health,expected_next_invoice_total_if_full_month,notes
CT-2026-00016,Unjani Clinic - Heidelberg,heidelburg@unjani.org,billing_ready,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00014 [paid R276.00/correct_prorata]; INV-2026-00026 [sent R450.00/wrong_full_month],1,0.00,517.50,debit_order,active,NEEDS_CATCHUP_OPEN,1035.00,July wrong R450 open unpaid; next run absorbs R517.50 + voids open; + current period
CT-2026-00017,Unjani Clinic - Barcelona,barcelona@unjani.org,billing_ready,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00015 [paid R276.00/correct_prorata]; INV-2026-00025 [sent R450.00/wrong_full_month],1,0.00,517.50,debit_order,active,NEEDS_CATCHUP_OPEN,1035.00,July wrong R450 open unpaid; next run absorbs R517.50 + voids open; + current period
CT-2026-00019,Unjani Clinic - Jabulani,jabulani@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00030 [sent R450.00/wrong_full_month],1,0.00,517.50,,,NEEDS_CATCHUP_OPEN,1035.00,July wrong R450 open unpaid; next run absorbs R517.50 + voids open; + current period; no active debit method in DB
CT-2026-00026,Unjani Clinic - New Hanover,newhanover@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00032 [sent R450.00/wrong_full_month],1,0.00,517.50,,,NEEDS_CATCHUP_OPEN,1035.00,July wrong R450 open unpaid; next run absorbs R517.50 + voids open; + current period; no active debit method in DB
CT-2026-00027,Unjani Clinic - Umsinga,umsinga@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00033 [sent R450.00/wrong_full_month],1,0.00,517.50,,,NEEDS_CATCHUP_OPEN,1035.00,July wrong R450 open unpaid; next run absorbs R517.50 + voids open; + current period; no active debit method in DB
CT-2026-00022,Unjani Clinic - Kayamandi,kayamandi@unjani.org,billing_ready,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00016 [paid R276.00/correct_prorata]; INV-2026-00027 [partial R450.00/wrong_full_month],1,276.00,241.50,debit_order,active,NEEDS_CATCHUP_MIXED,759.00,Partial payment on wrong July invoice; next run remainder catch-up
CT-2026-00013,Unjani Clinic - Sky City,skycity@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00023 [paid R450.00/wrong_full_month],1,450.00,67.50,,,NEEDS_CATCHUP_TOPUP,585.00,July full month paid R450; next run +R67.50 catch-up; no active debit method in DB
CT-2026-00014,Unjani Clinic - Tokoza,tokoza@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00024 [paid R450.00/wrong_full_month],1,450.00,67.50,,,NEEDS_CATCHUP_TOPUP,585.00,July full month paid R450; next run +R67.50 catch-up; no active debit method in DB
CT-2026-00020,Unjani Clinic - Lens ext 10,lensext10@unjani.org,pending,active,Unjani Managed Connectivity,450.00,1,2026-07-01,INV-2026-00034 [paid R450.00/wrong_full_month],1,450.00,67.50,,,NEEDS_CATCHUP_TOPUP,585.00,July full month paid R450; next run +R67.50 catch-up; no active debit method in DB
CT-2026-00021,Unjani Clinic - Nokaneng,phindimotebu@gmail.com,billing_ready,active,Unjani Managed Connectivity,450.00,1,2026-07-01,—,0,0,0.00,debit_order,active,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed)
CT-2026-00024,Unjani Clinic - Sweetwaters,sweetwaters@unjani.org,submitted,active,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,debit_order,pending,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed)
CT-2026-00033,Unjani Clinic Delmas,delmas@unjani.org,submitted,pending,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,debit_order,active,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending
CT-2026-00034,Unjani Clinic - Stinkwater,stinkwater@unjani.org,submitted,pending,Unjani Managed Connectivity,450.00,25,,—,0,0,0.00,debit_order,pending,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending
CT-2026-00035,Unjani Clinic - Suurman,suurman@unjani.org,in_progress,pending,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,,,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending; no active debit method in DB
CT-2026-00036,Unjani Clinic - Bridge City KwaMashu,bridgecity@unjani.org,in_progress,pending,Unjani Managed Connectivity,450.00,1,,—,0,0,0.00,,,NO_INVOICES_YET,517.50,No invoices yet; next run clean R517.50 only (if billed); service=pending; no active debit method in DB
