invoice_number,account_number,business_name,recommended_action,supabase_total,supabase_paid,target_total,collect_after_correction,payment_collection_method,db_mandate_status,db_mandate_id,db_max_debit_amount,db_last_four,db_method_type,netcash_mandate_status_code,netcash_mandate_label,netcash_mandate_outcome,netcash_mandate_verified,mandate_allows_target,mandate_allows_67_50,supabase_netcash_tx_count,supabase_netcash_tx_amounts,supabase_netcash_tx_refs,statement_hits,amount_match_notes
INV-2026-00025,CT-2026-00017,Unjani Clinic - Barcelona,AMEND_OPEN,450.00,0.00,517.50,517.50,debit_order,active,,,5757,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00015,2026-06-26:TDD:276:+:,MANDATE_NOT_ACTIVE|OPEN_UNPAID_AMEND_CANDIDATE
INV-2026-00026,CT-2026-00016,Unjani Clinic - Heidelberg,AMEND_OPEN,450.00,0.00,517.50,517.50,debit_order,active,,,2449,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00014,2026-06-26:TDD:276:+:,MANDATE_NOT_ACTIVE|OPEN_UNPAID_AMEND_CANDIDATE
INV-2026-00030,CT-2026-00019,Unjani Clinic - Jabulani,AMEND_OPEN,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW|OPEN_UNPAID_AMEND_CANDIDATE
INV-2026-00032,CT-2026-00026,Unjani Clinic - New Hanover,AMEND_OPEN,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW|OPEN_UNPAID_AMEND_CANDIDATE
INV-2026-00033,CT-2026-00027,Unjani Clinic - Umsinga,AMEND_OPEN,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW|OPEN_UNPAID_AMEND_CANDIDATE
INV-2026-00027,CT-2026-00022,Unjani Clinic - Kayamandi,REBUILD_PARTIAL,450.00,276.00,517.50,241.50,debit_order,active,,,5967,debit_order,2,Awaiting authorisation,pending,false,,,1,276@completed,INV-2026-00016,2026-07-01:TDD:276:+:,MANDATE_NOT_ACTIVE
INV-2026-00023,CT-2026-00013,Unjani Clinic - Sky City,TOPUP_67_50,450.00,450.00,517.50,67.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,1,450@completed,271183e9-6de0-4c24-9435-e72cc70ded96,2026-06-26:OBL:3273.99:+: | 2026-06-26:TDD:276:+: | 2026-06-26:TDD:276:+: | 2026-06-26:CBL:3825.99:+: | 2026-07-01:OBL:4707.63:+: | 2026-07-01:TDD:276:+: | 2026-07-01:TDD:276:+: | 2026-07-01:NSF:385.84:-: | 2026-07-01:VAT:57.9:-: | 2026-07-01:SDD:999:+: | 2026-07-01:CBL:5814.89:+: | 2026-07-02:OBL:5814.89:+: | 2026-07-02:PIA:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNA:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNA:0:+:CT-271183e9-6de0-4c24-9435-e72cc70ded96-1782871226256 | 2026-07-02:PIF:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNC:450:+:CT-271183e9-6de0-4c24-9435-e72cc70ded96-1782871226256 | 2026-07-02:PNC:450:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:CBL:6714.89:+: | 2026-07-07:OBL:7163.89:+: | 2026-07-07:PNA:0:+:CT-83def339-91b0-42f5-8bdb-f26701692c19-1782871256192 | 2026-07-07:PNC:450:+:CT-83def339-91b0-42f5-8bdb-f26701692c19-1782871256192 | 2026-07-07:CBL:7613.89:+: | 2026-07-10:OBL:7613.89:+: | 2026-07-10:CBL:7613.89:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_450_WRONG_FULL_MONTH|STATEMENT_AMOUNT_MATCHES_INVOICE|NO_NETCASH_MANDATE_ROW|TOPUP_CANDIDATE_CONFIRMED_PAID_450
INV-2026-00024,CT-2026-00014,Unjani Clinic - Tokoza,TOPUP_67_50,450.00,450.00,517.50,67.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,1,450@completed,696d052a-da5a-47dd-84c6-0b1f59fa2c1d,2026-06-26:OBL:3273.99:+: | 2026-06-26:TDD:276:+: | 2026-06-26:TDD:276:+: | 2026-06-26:CBL:3825.99:+: | 2026-07-01:OBL:4707.63:+: | 2026-07-01:TDD:276:+: | 2026-07-01:TDD:276:+: | 2026-07-01:NSF:385.84:-: | 2026-07-01:VAT:57.9:-: | 2026-07-01:SDD:999:+: | 2026-07-01:CBL:5814.89:+: | 2026-07-02:OBL:5814.89:+: | 2026-07-02:PIA:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNA:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNA:0:+:CT-271183e9-6de0-4c24-9435-e72cc70ded96-1782871226256 | 2026-07-02:PIF:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNC:450:+:CT-271183e9-6de0-4c24-9435-e72cc70ded96-1782871226256 | 2026-07-02:PNC:450:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:CBL:6714.89:+: | 2026-07-07:OBL:7163.89:+: | 2026-07-07:PNA:0:+:CT-83def339-91b0-42f5-8bdb-f26701692c19-1782871256192 | 2026-07-07:PNC:450:+:CT-83def339-91b0-42f5-8bdb-f26701692c19-1782871256192 | 2026-07-07:CBL:7613.89:+: | 2026-07-10:OBL:7613.89:+: | 2026-07-10:CBL:7613.89:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_450_WRONG_FULL_MONTH|STATEMENT_AMOUNT_MATCHES_INVOICE|NO_NETCASH_MANDATE_ROW|TOPUP_CANDIDATE_CONFIRMED_PAID_450
INV-2026-00034,CT-2026-00020,Unjani Clinic - Lens ext 10,TOPUP_67_50,450.00,450.00,517.50,67.50,paynow,,,,,,2,Awaiting authorisation,pending,false,,,1,450@completed,83def339-91b0-42f5-8bdb-f26701692c19,2026-06-26:OBL:3273.99:+: | 2026-06-26:TDD:276:+: | 2026-06-26:TDD:276:+: | 2026-06-26:CBL:3825.99:+: | 2026-07-01:OBL:4707.63:+: | 2026-07-01:TDD:276:+: | 2026-07-01:TDD:276:+: | 2026-07-01:NSF:385.84:-: | 2026-07-01:VAT:57.9:-: | 2026-07-01:SDD:999:+: | 2026-07-01:CBL:5814.89:+: | 2026-07-02:OBL:5814.89:+: | 2026-07-02:PIA:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNA:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNA:0:+:CT-271183e9-6de0-4c24-9435-e72cc70ded96-1782871226256 | 2026-07-02:PIF:0:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:PNC:450:+:CT-271183e9-6de0-4c24-9435-e72cc70ded96-1782871226256 | 2026-07-02:PNC:450:+:CT-696d052a-da5a-47dd-84c6-0b1f59fa2c1d-1782871229328 | 2026-07-02:CBL:6714.89:+: | 2026-07-07:OBL:7163.89:+: | 2026-07-07:PNA:0:+:CT-83def339-91b0-42f5-8bdb-f26701692c19-1782871256192 | 2026-07-07:PNC:450:+:CT-83def339-91b0-42f5-8bdb-f26701692c19-1782871256192 | 2026-07-07:CBL:7613.89:+: | 2026-07-10:OBL:7613.89:+: | 2026-07-10:CBL:7613.89:+:,DB_TX_MATCHES_INVOICE_TOTAL|COLLECTED_450_WRONG_FULL_MONTH|STATEMENT_AMOUNT_MATCHES_INVOICE|MANDATE_NOT_ACTIVE|TOPUP_CANDIDATE_CONFIRMED_PAID_450
INV-2026-00021,CT-2026-00009,Unjani Clinic - Alexandra,IGNORE_VOID,450.00,0.00,517.50,517.50,paynow,,,,,,,NOT_IN_MANDATE_FILE,missing,,,,0,,,,NO_NETCASH_MANDATE_ROW
