pulled_at_utc,account_number,clinic,invoice_number,invoice_type,period,invoice_class,invoice_status,invoice_total,invoice_amount_paid_supabase,collection_method,netcash_settled,netcash_settled_amount,netcash_settlement_source,netcash_settlement_detail,settlement_vs_invoice,debit_method_db,mandate_status_db,max_debit_amount_db,netcash_mandate_status_code,netcash_mandate_label,netcash_mandate_outcome,netcash_mandate_verified,shortfall_vs_msa_if_wrong_full_month,statement_lines_for_invoice
2026-07-14T22:13:01.778Z,CT-2026-00009,Unjani Clinic - Alexandra,INV-2026-00021,recurring,2026-07-01 → 2026-07-31,voided_wrong_full_month,voided,450.00,0.00,paynow,NO,0.00,n/a,Invoice voided — no settlement expected,VOIDED,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00010,Unjani Clinic - Chloorkop,INV-2026-00022,recurring,2026-07-01 → 2026-07-31,voided_wrong_full_month,voided,450.00,0.00,paynow,NO,0.00,n/a,Invoice voided — no settlement expected,VOIDED,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00011,Mbali Zwakele Gumbi T/A Unjani Clinic - Cosmo City,INV-2026-00017,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,sent,276.00,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,6,Accepted,active,false,,0
2026-07-14T22:13:01.778Z,CT-2026-00012,Bhekilanga Health Care,INV-2026-00018,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,paid,276.00,276.00,debit_order,YES,276.00,merchant_statement_live,2026-07-01 TDD R276.00 (INV-2026-00018 - BHEKILANGA HEALTH CARE),MATCHES_INVOICE_TOTAL,debit_order,active,,2,Awaiting authorisation,pending,false,,1
2026-07-14T22:13:01.778Z,CT-2026-00013,Unjani Clinic - Sky City,INV-2026-00023,recurring,2026-07-01 → 2026-07-31,wrong_full_month,paid,450.00,450.00,paynow,YES,450.00,payment_transactions,R450.00 completed netcash @ 2026-07-02 ref=271183e9-6de0-4c24-9435-e72cc70ded96,MATCHES_INVOICE_TOTAL,,,,,NOT_IN_MANDATE_FILE,missing,,67.50,0
2026-07-14T22:13:01.778Z,CT-2026-00014,Unjani Clinic - Tokoza,INV-2026-00024,recurring,2026-07-01 → 2026-07-31,wrong_full_month,paid,450.00,450.00,paynow,YES,450.00,payment_transactions,R450.00 completed netcash @ 2026-07-02 ref=696d052a-da5a-47dd-84c6-0b1f59fa2c1d,MATCHES_INVOICE_TOTAL,,,,,NOT_IN_MANDATE_FILE,missing,,67.50,0
2026-07-14T22:13:01.778Z,CT-2026-00015,Unjani Clinic - Sicelo,INV-2026-00028,recurring,2026-07-01 → 2026-07-31,voided_wrong_full_month,voided,450.00,0.00,paynow,NO,0.00,n/a,Invoice voided — no settlement expected,VOIDED,,,,,NOT_IN_MANDATE_FILE,missing,,,0
2026-07-14T22:13:01.778Z,CT-2026-00016,Unjani Clinic - Heidelberg,INV-2026-00014,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,paid,276.00,276.00,paynow,YES,276.00,merchant_statement_live,2026-06-26 TDD R276.00 (INV-2026-00014 - UNJANI CLINIC HEIDELBERG),MATCHES_INVOICE_TOTAL,debit_order,active,,2,Awaiting authorisation,pending,false,,1
2026-07-14T22:13:01.778Z,CT-2026-00016,Unjani Clinic - Heidelberg,INV-2026-00026,recurring,2026-07-01 → 2026-07-31,wrong_full_month,sent,450.00,0.00,debit_order,NO,0.00,none,No NetCash settlement found,UNPAID_OR_NO_NETCASH_SETTLEMENT,debit_order,active,,2,Awaiting authorisation,pending,false,517.50,0
2026-07-14T22:13:01.778Z,CT-2026-00017,Unjani Clinic - Barcelona,INV-2026-00015,pro_rata,2026-06-15 → 2026-06-30,correct_prorata,paid,276.00,276.00,paynow,YES,276.00,merchant_statement_live,2026-06-26 TDD R276.00 (INV-2026-00015 - VL MMONENG),MATCHES_INVOICE_TOTAL,debit_order,active,,2,Awaiting authorisation,pending,false,,1
