50-site projections using CORRECTED Alexandra benchmark + actual waterfall,,,,,,,,,,,
Scenario,Gross/site/mo,CT rev/site,OPEX/site,NC/site,Network (50),Annual (50),Viable?,,,,
"Current actual (Apr pro avg, no fix)",184,606,658,-52,"-2,600","-31,200",No,,,,
"Fix Alexandra only (+R2,000 network)",275,684,658,26,"1,300","15,600",No,,,,
Outdoor AP retrofit (2.5× conservative),460,841,658,183,"9,150","109,800",Marginal,,,,
"Alexandra indoor benchmark (R2,387)","2,387","1,689",658,"1,031","51,550","618,600",Yes,,,,
"Barcelona outdoor benchmark (R2,964)","2,964","1,935",658,"1,277","63,850","766,200",Strong,,,,
"Alexandra + outdoor AP (projected R5,300)","5,300","2,928",658,"2,270","113,500","1,362,000",Exceptional,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PHASE 2 TOP 28 — Revised projection using Alexandra characteristics,,,,,,,,,,,
Rank,Clinic,Province,ISP,ISP cost,Migrate,Similar to Alex?,Proj. gross,CT rev,OPEX,NC,Score
,,,,,,,,,,,
1,Dutywa,Eastern Cape,Morclick,999,Yes,No,340,739,658,81,
2,Amalinda,Eastern Cape,Telkom,426,Yes,No,340,739,658,81,
3,Gillwell,Eastern Cape,Vodacom,426,Yes,No,340,739,658,81,
4,Mdantsane,Eastern Cape,Telkom,350,Yes,No,340,739,658,81,
5,Scenery Park,Eastern Cape,Telkom,500,Yes,No,340,739,658,81,
6,Zwelitsha,Eastern Cape,Vodacom,"1,100",Yes,No,340,739,658,81,
7,Kirkwood,Eastern Cape,Vodacom,819,Yes,No,340,739,658,81,
8,Cofimvaba,Eastern Cape,—,—,No data,No,340,739,658,81,
9,Komani,Eastern Cape,Herotel,699,Yes,No,340,739,658,81,
10,Encgobo,Eastern Cape,Vodacom,589,Yes,No,340,739,658,81,
11,Maclear,Eastern Cape,Morclick,649,Wait for expiry,No,340,739,658,81,
12,Maletswai,Eastern Cape,Herotel,699,Yes,No,340,739,658,81,
13,Sterkspruit,Eastern Cape,Vodacom,498,Yes,No,340,739,658,81,
14,Butterworth,Eastern Cape,Vodacom,649,Yes,No,340,739,658,81,
15,Cleary Estate,Eastern Cape,Wedafrica,399,Yes,No,340,739,658,81,
16,Gqeberha,Eastern Cape,Rain,500,Yes,No,340,739,658,81,
17,Kwa-Nobuhle,Eastern Cape,Vodacom,600,Yes,No,340,739,658,81,
18,Kwazakhele,Eastern Cape,MTN,150,Yes,No,340,739,658,81,
19,Motherwell,Eastern Cape,Vuma Mobile,399,Yes,No,340,739,658,81,
20,Uitenhage,Eastern Cape,Herotel,699,Yes,No,340,739,658,81,
21,Walmer,Eastern Cape,Telkom,260,Yes,No,340,739,658,81,
22,Addo,Eastern Cape,—,—,No data,No,340,739,658,81,
23,Deneysville,Free State,Telkom,350,Yes,No,340,739,658,81,
24,Viljoenskroon,Free State,Openserve,400,Yes,No,340,739,658,81,
25,Virginia,Free State,Vodacom,400,Wait for expiry,No,340,739,658,81,
26,Botshabelo,Free State,Morclick,999,Wait for expiry,No,340,739,658,81,
27,Dewetsdorp,Free State,Morclick,"1,299",Wait for expiry,No,340,739,658,81,
28,Bethlehem,Free State,Unknown,—,Unknown,No,340,739,658,81,
,PHASE 2 TOTAL (28),,,,,,"9,520","20,692","18,424","2,268",
