Account Number,Clinic,Province,Area,Technology,Connectivity Source,Arlan v2 Order,SIM Number,Activation Date,Address,PPPoE Username,Status,Month,Period,Unique Users,Login Sessions,Ad Impressions,Download GB,Gross Revenue (R),Net Revenue (R),Think Share (R),Partner Revenue (R)
CT-UNJ-002,Alexandra,Gauteng,Johannesburg,Tarana FWB,Tarana FWB,No,,2026-02-11,47 Third St Wynberg,CT-UNJ-002@circletel.co.za,Activated,May 2026,1 May - 23 May 2026,2906,7366,48810,2057,3459,1878,1048,2423
CT-UNJ-002,Alexandra,Gauteng,Johannesburg,Tarana FWB,Tarana FWB,No,,2026-02-11,47 Third St Wynberg,CT-UNJ-002@circletel.co.za,Activated,April 2026,1 Apr - 30 Apr 2026,3577,9783,70647,2711,5739,3030,1645,3071
CT-UNJ-013,Barcelona,Gauteng,Springs,LTE/5G,Arlan 5G,Yes,11360259504,2026-02-26,,CT-UNJ-013@circletel.co.za,Activated,May 2026,1 May - 23 May 2026,500,1715,11233,524,905,521,283,619
CT-UNJ-013,Barcelona,Gauteng,Springs,LTE/5G,Arlan 5G,Yes,11360259504,2026-02-26,,CT-UNJ-013@circletel.co.za,Activated,April 2026,1 Apr - 30 Apr 2026,526,1768,10156,502,1034,558,283,538
CT-UNJ-006,Chloorkop,Gauteng,Ekurhuleni,Tarana FWB,Tarana FWB,No,,2026-02-11,3430 Successor St Phomolong,CT-UNJ-006@circletel.co.za,Activated,May 2026,1 May - 23 May 2026,13,20,193,5,13,9,4,9
CT-UNJ-006,Chloorkop,Gauteng,Ekurhuleni,Tarana FWB,Tarana FWB,No,,2026-02-11,3430 Successor St Phomolong,CT-UNJ-006@circletel.co.za,Activated,April 2026,1 Apr - 30 Apr 2026,1,1,20,0,2,2,1,1
CT-UNJ-007,Cosmo City,Gauteng,Johannesburg,Tarana FWB,Tarana FWB,No,,2026-02-12,35 Massachussets Cres,CT-UNJ-007@circletel.co.za,Activated,May 2026,1 May - 23 May 2026,183,375,3221,103,277,158,78,155
CT-UNJ-022,Durban,KwaZulu-Natal,Durban,LTE,Arlan 5G,Yes,11360258712,2026-03-07,135 Anton Lembede St Durban,CT-UNJ-022@circletel.co.za,Activated,May 2026,1 May - 23 May 2026,317,950,8500,236,638,432,202,527
CT-UNJ-022,Durban,KwaZulu-Natal,Durban,LTE,Arlan 5G,Yes,11360258712,2026-03-07,135 Anton Lembede St Durban,CT-UNJ-022@circletel.co.za,Activated,April 2026,1 Apr - 30 Apr 2026,248,681,4994,160,166,93,59,105
CT-UNJ-008,Fleurhof,Gauteng,Johannesburg,Tarana FWB,Tarana FWB,No,,2026-02-12,"Ext 26 Cnr Lavender & Drumstick St Fleurhof",CT-UNJ-008@circletel.co.za,Activated,May 2026,1 May - 23 May 2026,47,68,671,16,59,40,18,37
